Game ID,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
217,2010-02-14,Santander,Malaga,0,3,0,2,13,11,4,5,14,16,8,3,6,3,1,0
218,2010-02-14,Sevilla,Osasuna,1,0,1,0,13,10,3,5,15,14,3,7,1,3,0,0
219,2010-02-14,Valladolid,Zaragoza,1,1,1,1,20,10,7,3,17,15,7,2,4,4,0,1
220,2010-02-15,Tenerife,Mallorca,1,0,1,0,8,14,3,6,20,18,5,10,3,1,0,0
221,2010-02-20,Barcelona,Santander,4,0,3,0,16,5,9,0,14,13,6,0,3,4,0,0
222,2010-02-20,La Coruna,Xerez,2,1,2,1,11,11,5,2,24,20,3,3,3,5,0,0
223,2010-02-20,Mallorca,Sevilla,1,3,1,1,11,12,5,6,23,14,5,4,3,1,1,2
224,2010-02-21,Almeria,Ath Madrid,1,0,0,0,13,18,5,9,20,13,4,4,2,3,0,0
225,2010-02-21,Ath Bilbao,Tenerife,4,1,2,0,21,14,9,3,11,13,12,5,1,1,0,1
226,2010-02-21,Malaga,Espanol,2,1,1,1,11,12,2,4,20,9,4,7,5,2,1,0
227,2010-02-21,Osasuna,Valladolid,1,1,0,0,16,14,1,6,18,14,10,10,2,1,0,0
228,2010-02-21,Real Madrid,Villarreal,6,2,2,1,17,9,9,3,19,14,5,6,3,3,0,0
229,2010-02-21,Zaragoza,Sp Gijon,1,3,0,1,17,10,7,3,10,6,0,5,2,0,0,0
230,2010-02-22,Valencia,Getafe,2,1,1,0,12,15,7,3,17,9,3,5,2,6,1,0
231,2010-02-27,Barcelona,Malaga,2,1,0,0,20,5,8,2,10,16,13,3,1,1,0,0
232,2010-02-27,Getafe,Zaragoza,0,2,0,2,14,8,5,2,10,11,14,3,3,4,0,0
233,2010-02-27,Tenerife,Real Madrid,1,5,0,2,14,14,5,6,16,7,6,4,2,1,0,0
234,2010-02-28,Ath Madrid,Valencia,4,1,1,1,25,7,13,2,14,18,7,7,3,4,0,2
235,2010-02-28,Santander,Almeria,0,2,0,1,12,5,0,2,22,14,2,4,5,1,0,0
236,2010-02-28,Sevilla,Ath Bilbao,0,0,0,0,22,13,5,6,18,17,10,4,1,6,1,0
237,2010-02-28,Sp Gijon,Osasuna,3,2,1,1,15,11,6,5,18,11,5,4,4,1,0,0
238,2010-02-28,Valladolid,Mallorca,1,2,0,0,10,13,4,3,17,16,5,5,2,3,0,0
239,2010-02-28,Villarreal,La Coruna,1,0,1,0,19,8,6,2,16,13,5,3,2,3,0,0
240,2010-02-28,Xerez,Espanol,1,1,0,1,11,19,5,1,17,21,4,3,2,1,0,0
241,2010-03-06,Almeria,Barcelona,2,2,1,1,7,22,2,8,17,12,5,5,0,0,0,1
242,2010-03-06,La Coruna,Tenerife,3,1,1,1,7,11,3,2,12,17,4,3,1,1,0,0
243,2010-03-06,Real Madrid,Sevilla,3,2,0,1,34,2,13,1,19,16,6,5,4,4,0,0
244,2010-03-07,Ath Bilbao,Valladolid,2,0,2,0,11,13,8,2,7,13,8,3,0,0,0,0
245,2010-03-07,Espanol,Villarreal,0,0,0,0,16,16,6,6,14,14,10,8,1,4,1,0
246,2010-03-07,Malaga,Xerez,2,4,1,1,23,11,6,8,14,18,12,3,2,7,1,1
